X,Y,Z
-360,-233.0,130
-285,-191.75,130
-70,-73.5,130
-40,-128.05,130
-70,-73.5,130
54,-5.3,130
114,27.7,130
120,31.0,130
150,-23.55,130
120,31.0,130
228,90.4,130
300,130.0,130
